"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
394,US,A,US 1340874 A,034-703-020-508-798,1920-05-25,1920,US 33354519 A,1919-10-27,US 33354519 A,1919-10-27,Folding net-frame,,BROWN ELLIS E,BROWN ELLIS E,,https://lens.org/034-703-020-508-798,Granted Patent,no,0,9,1,1,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,EXPIRED
395,CN,A,CN 107136004 A,030-765-008-559-320,2017-09-08,2017,CN 201710509533 A,2017-06-28,CN 201710509533 A,2017-06-28,Aquaculture pond,"The invention discloses an aquaculture pond. The aquaculture pond comprises a pond body and is characterized in that a plurality of vertical partitions separate the pond body into a plurality culture tanks, a fishing mechanism is arranged in each culture tank, each fishing mechanism comprises a fishing net arranged at the bottom of the corresponding culture tank, the periphery of each fishing net is connected with a frame for fixing the fishing net, the outer wall of each fixing frame closely attaches to the lateral wall of the corresponding culture tank, two vertical rods are connected to two sides of the upper end of each frame, the upper ends of the two vertical rods are connected to one transverse rod, and a handle is connected to the upper end of each transverse rod; a water supply pipeline is arranged on one side of the pond body and connected with a plurality of faucets, the faucets are arranged corresponding to the culture tanks, one side, away from the water supply pipeline of the pond body is provided with a draining tank, the culture tanks are communicated with the draining tank through a draining pipe, a gate valve is connected to the draining pipe, and a gate is arranged inside the draining tank. The aquaculture pond has the advantages that finless eel culture water quality can be improved fast, management is facilitated, the fishing efficiency of finless eels can be increased, and fishing cost is lowered.",FENG YUN,FENG YUN,,https://lens.org/030-765-008-559-320,Patent Application,no,2,2,1,1,0,A01K63/003;;A01K63/04;;A01K77/00,A01K63/00;;A01K63/04;;A01K77/00,,0,0,,,,DISCONTINUED
396,FR,A,FR 1374178 A,032-676-486-971-262,1964-10-02,1964,FR 31004921 A,1963-11-04,FR 31004921 A,1963-11-04,épuisette pliante à ouverture automatique,,,BERGES JACQUES JEAN JOSEPH,,https://lens.org/032-676-486-971-262,Granted Patent,no,0,0,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
397,KR,B1,KR 100382787 B1,034-292-000-689-145,2003-05-09,2003,KR 20010047067 A,2001-08-03,KR 20010047067 A,2001-08-03,KR 100382787 B1,,,,,https://lens.org/034-292-000-689-145,Granted Patent,no,5,0,2,2,0,A01K69/10;;A01K75/04;;A01K75/06;;A01K77/00,A01K69/04,,0,0,,,,EXPIRED
398,FR,A1,FR 3048583 A1,016-390-824-058-318,2017-09-15,2017,FR 1670095 A,2016-03-09,FR 1670095 A,2016-03-09,EPUISETTE REPLIABLE,"L'invention concerne une épuisette notamment pour la pêche avec cadre repliable. La structure mécanique qui reçoit le filet (13) est composée de cinq bras (3, 4, 5, 6, 7), cinq charnières, d'une palette postérieure (8) et de deux organes de saisie (1 et 2) acceptant chacun un doigt de la même main permettant l'ouverture de la raquette par écartement des doigts. Le maintien de l'ouverture est assuré par la présence de deux aimants (11 et 12) situés au niveau des butées (9 et 10) de l'articulation supérieure.",BRUN HERVE,CHALUMEAU GILLES;;BRUN HERVE,,https://lens.org/016-390-824-058-318,Patent Application,no,8,1,2,2,0,A01K77/00,A01K77/00,,0,0,,,,ACTIVE
399,CN,A,CN 110973082 A,027-656-466-700-036,2020-04-10,2020,CN 201911220741 A,2019-12-03,CN 201911220741 A,2019-12-03,Three-arc streamline diddle-net rod and production process thereof,"The invention discloses a three-arc streamline diddle-net rod and a production process thereof. The rod comprises a rod body, wherein the rod body is provided with three arc-shaped sides, the three arc-shaped sides are connected two by two, the three arc-shaped sides are provided with protrusions at joints, the arc-shaped side is provided with five strip-shaped grooves at equal arcs, and outer peripheral surface of one end of the rod body is provided with threads. According to the rod, the three arc-shaped sides are designed, so that compared with a conventional diddle-net rod, when the diddle-net rod is used, hand mastering and holding force-bearing surface is larger, and when the diddle-net rod is held, the diddle-net rod is more stable; furthermore, the protrusions provided at the joints of the three arc-shaped sides increase structural strength of the diddle-net rod, so that the diddle-net rod is difficult to deform when used, in addition, the five strip-shaped grooves provided oneach arc-shaped side with equal arcs can effectively increase friction when holding the diddle-net rod, so that the thread on the diddle-net rod is more tightly connected with a nut on a net head, anda situation that a thread on a conventional diddle-net rod is not tightly connected with the nut on the net head and is easy to slip is avoid.",ANHUI GUIJI OUTDOOR PRODUCTS CO LTD,QI QIGUI,,https://lens.org/027-656-466-700-036,Patent Application,no,7,1,2,2,0,A01K77/00;;A01G33/00;;B02C4/08;;B02C4/42;;B02C23/20;;B02C2201/06;;B23G1/04;;B23G1/44;;C22C1/026;;C22C1/06;;C22C21/02;;C22C30/06,A01K77/00;;A01G33/00;;B02C4/08;;B02C4/42;;B02C23/20;;B23G1/04;;B23G1/44;;C22C1/02;;C22C1/06;;C22C21/02;;C22C30/06,,0,0,,,,ACTIVE
400,FR,A,FR 917489 A,029-771-742-626-888,1947-01-08,1947,FR 917489D A,1945-11-16,FR 917489T A,1945-11-16,épuisette de pêche,,,PEON FRANCOIS,,https://lens.org/029-771-742-626-888,Granted Patent,no,0,0,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
401,KR,B1,KR 100363649 B1,026-362-154-759-303,2002-12-05,2002,KR 20000042934 A,2000-07-26,KR 20000042934 A,2000-07-26,APPARATUS FOR HAULING A FISH NET,"본 발명은 유자망 양망장치에 관한 것이다. 본 발명은, 배의 이물에 설치되어 본줄의 이동을 안내하는 롤러와; 배의 갑판에 설치되어 상기 롤러에 의해 안내된 본줄을 끌어당기는 것으로서, 베이스에 회전 가능하게 설치되는 감속기 케이스와, 상기 감속기 케이스에 모터와 구동축에 의해 구동되도록 설치되며 ""V""자 홈을 이루는 내측 경사면에 다수의 지지돌기가 교호적으로 형성되어 정면에서 볼 때 S자형상의 본줄 삽입공간을 형성하는 한쌍의 드럼과, 상기 한쌍의 드럼 하부에 위치되어 상기 한쌍의 드럼 사이에 끼워진 상태로 이동되는 본줄을 분리시키는 본줄 분리기를 구비하는 본줄 당김부와; 상기 본줄 당김부의 전방에 설치되어 본줄이 상기 한쌍의 드럼 사이의 상측으로 원활하게 공급되도록 가이드 하는 가이드 롤러와; 상기 배의 갑판 앞쪽에 설치되며 그물을 끌어당기는 3단 롤러 조립체를 포함하는 것을 특징으로 한다. 따라서 작업이 편리하고도 안전하게 이루어지고, 작업에 소요되는 시간 및 인원을 대폭 줄일 수 있게 된다.",이전재,이전재,,https://lens.org/026-362-154-759-303,Granted Patent,no,5,1,2,2,0,A01K73/06;;A01K77/00,A01K73/06,,0,0,,,,EXPIRED
402,KR,A,KR 20150118447 A,026-939-712-239-622,2015-10-22,2015,KR 20140044343 A,2014-04-14,KR 20140044343 A,2014-04-14,LINE HAULER,"The present invention provides a line hauler, in which two winding units (a first winding unit and a second winding unit) are formed in one device, so a rope and a fishing line can be easily wound. The line hauler according to the present invention comprises: a frame having a box-shaped external case formed in one side to have opened front and rear, an internal case disposed in the body, and a support formed in the other side; a driving unit having a motor disposed in the internal case of the frame, and a driving shaft connected to the motor to penetrate through the external case and the internal case of the frame and rotated by operation of the motor; and a winding unit formed in both side surfaces of the external case of the frame, and winding a rope and a fishing line by means of rotation of the driving shaft of the driving unit.",GU WOO KYUNG,GU WOO KYUNG;;LIM JIN GIU,,https://lens.org/026-939-712-239-622,Patent Application,no,0,0,1,1,0,A01K77/00;;A01K91/18,A01K91/18;;A01K77/00,,0,0,,,,ACTIVE
403,KR,Y1,KR 200420908 Y1,030-068-403-227-218,2006-07-06,2006,KR 20060003995 U,2006-02-13,KR 20060003995 U,2006-02-13,Fishing Gear,,,,,https://lens.org/030-068-403-227-218,Unknown,no,0,5,1,1,0,A01K91/18;;A01K77/00,A01K91/18;;A01K77/00,,0,0,,,,EXPIRED
404,KR,A,KR 20060109749 A,046-192-113-507-237,2006-10-23,2006,KR 20050032059 A,2005-04-18,KR 20050032059 A,2005-04-18,FRP LINING EXECUTING METHOD IN THE EXISTING STEEL STORAGE TANK,"Provided is an FRP(Fiberglass Reinforced Plastic) lining execution method performed on an existing steel buried oil tank to enhance work efficiency involved with the maintenance of corrosion test and oil leakage. To execute the FRP lining, inflammable gas inside the buried tank(1) is first measured. Then, an oil feeing pipe(2) or a suction pipe(3) each connected to a valve(6,7) is cut to empty gasoline out of the tank(1) by using an air drive pump or a pressure resistance. The valves(6,7) are closed when the buried tank(1) is repaired or filled with water. Next, water and organic oil absorbent are provided into the tank(1) to absorb floating oil. An opening is formed to clean the inside of the tank(1). An FRP for delaying degradation of the tank(1) is adhered onto the inner circumferential surface of the tank(1), where the FRP is hardened by ultraviolet radiation.",SANFUROINTO CORP,UENO HIDEO,,https://lens.org/046-192-113-507-237,Patent Application,no,0,0,1,1,0,A01K77/00;;A01K73/06,B65D90/04;;B65D90/00;;E04H7/00;;F17C1/04,,0,0,,,,DISCONTINUED
405,CN,B,CN 102138548 B,044-997-449-544-117,2013-01-09,2013,CN 201110083583 A,2011-04-02,KR 20100087010 A,2010-09-06,Line-shaped fishing net,,LIU CHENGYU,RYU SEUNG-OCK,,https://lens.org/044-997-449-544-117,Granted Patent,no,0,0,4,4,0,A01K77/005,A01K77/00,,0,0,,,,INACTIVE
406,US,A,US 5501026 A,040-956-850-454-250,1996-03-26,1996,US 27882494 A,1994-07-22,US 27882494 A,1994-07-22,Closable net for underwater operation and method of use,"The automated closing of the opening of a hand-held net. The hand-held net is operatable underwater, and specifically in saltwater. A mechanism, contained in an elongated handle, causes retraction of a predetermined section of a draw line to within the handle. The handle has pivotally attached a hoop, the hoop having attached a net. The draw line engages circumferentially the net at a location parallel to, and spaced from, the hoop. Once retraction of the draw line is activated the locations of connection of the draw line are gathered into close proximity together. This location being generally to the center of the hoop. Once retracted to this position, the net is effectively closed, preventing exit of anything contained therein through the hoop. The closed netting device is returned to an expanded position in a controlled manner by the operator by enabling a desired length of the draw line to be removed from the handle in user defined increments. This is accomplished by the incorporation of a ratchet gear in close proximity to the entry point for the draw line to the handle. The ratchet gear, having a disposed position and a engaged position, enforces a unidirectional movement of the draw line during expanding procedure. The operator would select the position of the ratchet gear during use. Opposing pulley located in the handle ensure that an adequate length of draw line is retractable, while permitting a relatively short handle to be employed.",BRYANT; VINCENT C.;;GREGG; LAUREN S.,BRYANT VINCENT C;;GREGG LAUREN S,,https://lens.org/040-956-850-454-250,Granted Patent,yes,10,21,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/12;;43/11,0,0,,,,EXPIRED
407,WO,A1,WO 2012/114195 A1,055-707-745-391-806,2012-08-30,2012,IB 2012000355 W,2012-02-27,AU 2011/900646 A,2011-02-25,"HANDLE FOR RODS, POLES, LEADS OR LINES","A handle (1A, 2A, 3A, 4A) for a fishing rod having a main longitudinal axis (52- 52). The handle comprises a hand grip portion (20) angularly disposed relative to the main longitudinal axis (52-52) to allow the fingers of a user to grip the hand grip portion (20) with the wrist in a natural or neutral position. The handle (1A, 2A, 3A, 4A) also comprises a lateral wing (32) angularly disposed relative to the main longitudinal axis (52-52) to support the forearm of a person when using the fishing rod.",SORENSEN ROBERT KEMP;;TAYLOR PETER MARCUS,SORENSEN ROBERT KEMP;;TAYLOR PETER MARCUS,,https://lens.org/055-707-745-391-806,Patent Application,yes,6,1,1,1,0,A01K87/08;;A01K77/00,A01K87/08,,0,0,,,,PENDING
408,US,B2,US 8093515 B2,048-294-716-289-478,2012-01-10,2012,US 36716509 A,2009-02-06,US 36716509 A,2009-02-06,Fishing net,A fishing net is described incorporating an electronic weighing device to weigh a fish whilst the fish is still in the net. The fishing net comprises a handle connected to a frame and a water permeable bag coupled to the frame. An electronic weight measuring device measures the weight of a fish or any other marine creature in the water permeable bag. The weighing action requires the user to lift the fishing net out of the water keeping the fishing net in a substantially horizontal position and read the weight from the display.,PIGOTT JAY,PIGOTT JAY,,https://lens.org/048-294-716-289-478,Granted Patent,yes,17,3,2,2,0,A01K77/00;;G01G19/60;;A01K77/00;;G01G19/60,A01K77/00;;G01G19/60,177/148;;177/245;;43/7;;43/12,0,0,,,,INACTIVE
409,CN,A,CN 104872085 A,063-431-328-410-020,2015-09-02,2015,CN 201510336272 A,2015-06-17,CN 201510336272 A,2015-06-17,Vertical live fish catching device causing no damage,"The invention discloses a vertical live fish catching device causing no damage. The device comprises a long-barrel-shaped bag with openings formed in two ends, wherein the bag is made of a water-permeable soft material; the upper opening of the bag is connected with a ring, and a locking piece capable of locking or unlocking the lower opening of the bag is arranged at the lower opening of the bag. The lower end of the bag is open, during pouring of live fishes, the locking piece is directly loosened, the fishes slip out of the lower opening in the scale direction, the stress of the live fishes is reduced, friction between the live fishes and the bag is reduced, and damage to the live fishes is small; the bag is soft, so that the friction between the live fishes and the bag is further reduced, the number of damaged live fishes is decreased, temporary culture, transportation and selling are facilitated, and the economic benefit is increased; besides, the live fish catching efficiency is also improved.",ZHANG ZHENSHOU,ZHANG ZHENSHOU,,https://lens.org/063-431-328-410-020,Patent Application,no,7,1,1,1,0,A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
410,US,A1,US 2004/0064996 A1,062-439-999-420-035,2004-04-08,2004,US 68006403 A,2003-10-06,US 68006403 A;;US 41596402 P,2002-10-07,Fish holder spring clamp system,"
   A fish holder clamp system includes an elongate lever having a handle end and a jaw end. Disposed intermediately between a proximal part of the handle end and a distal part of the jaw end is a pivot pin that defines an obtuse angle between virtual lines connecting the proximal part of the lever to the pivot pin and the distal part of the jaw end to the pivot pin. A lever effect about the pivot pin to causes an elevation of the jaw end responsive to a depression of the handle end. 
",ARMENTI NICHOLAS P.,ARMENTI NICHOLAS P,,https://lens.org/062-439-999-420-035,Patent Application,yes,15,10,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/7,0,0,,,,DISCONTINUED
411,CN,A,CN 108739693 A,060-243-258-159-442,2018-11-06,2018,CN 201810409895 A,2018-05-02,CN 201810409895 A,2018-05-02,Fishing netting gear,"The invention discloses a fishing netting gear which comprises a bottom net and a block net. The cross section of the block net is triangular, the height of one end is small, the two sides of the block net are each provided with a fixing rod, the height of the other end of the block net is large, the two sides of the higher end are each provided with a float, the float is arranged to be a plurality of sections, each section is provided with a floating device, the bottom of the block net is hollow, the bottom of the higher end is connected with the bottom net, the bottom net comprises an upperleakage net and a lower water containing pool, the bottom net is penetrated through one rope, and the top and the bottom of the higher end of the block net are fixedly connected with one ends of the rope respectively. The adopted fishing netting gear is simple in structure, convenient to operate and large in fishing range; traction can be performed through a tractor, the needed traction consumption is small, the lower portion of the bottom net can contain water, and therefore no water is drained from fish in the whole process; accordingly, fish can be silent, and meanwhile the inner surface ofthe water containing pool is coated with a flexible rubber layer, so that little damage is caused to fish in the whole process.",SHUCHENG WANFOHU FISHERY HEAD COMPANY,CHEN RONGNING;;ZHOU ANQUAN;;LIU YONGFU;;LI JIAQIN;;MA BANGWEN;;CHEN XIANWEN;;WANG DAONENG;;TAN MINGYE;;CHEN LIYIN;;ZHANG XIAONIAN,,https://lens.org/060-243-258-159-442,Patent Application,no,10,1,1,1,0,A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
412,KR,Y1,KR 200347620 Y1,062-900-527-191-185,2004-04-21,2004,KR 20040002157 U,2004-01-29,KR 20040002157 U,2004-01-29,KR 200347620 Y1,,,,,https://lens.org/062-900-527-191-185,Unknown,no,0,2,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
413,US,B2,US 7753053 B2,056-910-707-307-714,2010-07-13,2010,US 6740805 A,2005-02-28,US 6740805 A,2005-02-28,Blindfolding device,"A control hood for blindfolding a person, comprising, an elongated handle, a ring attached to the handle, where said ring includes at least one peripheral flange, and a pliant blindfolding hood for covering the head and upper neck of a person and having an opening with elastic perimetric edges in one end thereof, said edges adapted to be mounted on the ring around its perimeter.",DILLON WILLIAM W,DILLON WILLIAM W,,https://lens.org/056-910-707-307-714,Granted Patent,yes,11,1,2,2,0,A01K15/003;;A01K77/00;;F41B15/00;;F41H13/00;;A01K15/003;;F41H13/00;;A01K77/00;;F41B15/00,A01K27/00;;A61B19/00;;A01K37/00;;A42B1/04,128/869;;2/202;;119/717;;119/769,0,0,,,,INACTIVE
414,US,A,US 1258632 A,056-884-882-075-651,1918-03-05,1918,US 12440416 A,1916-10-07,US 12440416 A,1916-10-07,FISHING STAFF OR CANE.,,HARRIS CLINTON O,HARRIS CLINTON O,,https://lens.org/056-884-882-075-651,Granted Patent,no,0,11,1,1,0,A01K77/00;;A01K77/00,,,0,0,,,,EXPIRED
415,US,A,US 4050177 A,061-992-305-163-626,1977-09-27,1977,US 65965776 A,1976-02-20,US 65965776 A,1976-02-20,Foldable fish net,A hand carried fish net includes an extensible telescoping handle having a pair of foldable arms pivotally connected to the end of the handle. The arms are secured in an open position to support a triangular shaped net. The base of the handle is hollow to permit tubular extensions to retract for storage. The arms are collapsed with the net wrapped around them and pivoted back to fold into a slot in the side of the handle base.,GERRITSEN ALLEN,GERRITSEN ALLEN,GERRITSEN ALLAN (1979-07-30),https://lens.org/061-992-305-163-626,Granted Patent,yes,3,24,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/12,0,0,,,,EXPIRED
416,EP,A1,EP 0522802 A1,057-580-536-290-168,1993-01-13,1993,EP 92306146 A,1992-07-03,GB 9114548 A,1991-07-05,Fish handling net.,"A fish handling net (10) comprises a body portion (12) having a triangular opening (14). The body portion (12) can be formed from a net material or from waterproof plastic sheet material such as PVC which has been perforated to provide drainage holes. The body portion (12) is provided with attachment means comprising weighing rings (24), (26) and VELCRO strips (28) along each side of the body portion (12). The weighing ring (24) is attachable to a projection (66) of a sleeve (64) which is clamped to a pole (54).",LUMB DEREK WILLIAM;;FLOOD DEREK JAMES,LUMB DEREK WILLIAM;;FLOOD DEREK JAMES,,https://lens.org/057-580-536-290-168,Patent Application,yes,1,5,3,3,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
417,KR,B1,KR 100692173 B1,068-420-401-556-666,2007-03-12,2007,KR 20050024130 A,2005-03-23,KR 20050024130 A,2005-03-23,Health functional food having an energetic and sturdy action,,,,,https://lens.org/068-420-401-556-666,Granted Patent,no,6,0,2,2,0,A01K73/06;;A01K77/00;;A01K80/00;;B65H75/30,A23L33/00,,0,0,,,,INACTIVE
418,KR,U,KR 20090009808 U,076-092-005-294-078,2009-09-30,2009,KR 20080003897 U,2008-03-25,KR 20080003897 U,2008-03-25,a sea squirt separate auto machine,"본 발명은 멍게 자동 분리기에 관한 것이다. 멍게(3)가 부착된 봉줄(1)을 컨베어 안으로 안내하는 받침(45)의 위치(S)에서 시작한다. 봉줄(1)의 한쪽 끝을 컨베어 중앙부의 탈거용 롤러장치(50,50b)의 분리봉(55,55b) 중앙 원 모양을 통과하여, 컨베어 후방부에 있는 가이드 봉(25)에 걸쳐진 후 권취드럼(23)의 축에 한바퀴 이상 걸어 연결된다. 봉줄(1) 주위로 둥글게 부착되어있는 멍게(3)의 크기와 양에 따라 받침(45)을 받침 조절용장치(42)를 이용하여 높이를 조절하고, 이로 인해 봉줄(1)이 상기 탈거용 롤러장치(50,50b) 날개(53,53b)면의 원 중앙에 위치하게 된다. 멍게 자동 분리기를 작동시키면, 상기 권취드럼(23)이 회전함에 따라 봉줄(1)을 감아 올리고, 이로 인해 멍게(3)가 부착된 봉줄(1)이 컨베어 안쪽으로 안내된다. 회전하는 탈거용 롤러장치(50,50b)의 원 모양의 분리봉(55,55b)이 멍개 부분에서 제일 단단한 팜사(2)에 뿌리를 내리고 있는 멍게(3) 뿌리 부분에 힘을 가해 분리시킨다. 상기 분리된 멍게(3)는 하부로 떨어지게 되며, 콘베어(10)의 후방부로 움직이는 콘베어 벨트(12) 위에 놓이게 된다. 콘베어 벨트(12) 위에 놓인 멍게(3)는 콘베어(10)의 후방부의 끝 위치(S1)로 옮겨지게 되며 아래에 준비되어있던 바구니나 수레에 전달된다. 본 발명에 의하면 봉줄의 팜사에 부착되어 있는 멍게를 효과적으로 분리할 수 있으며, 작업이 용이하고 상품화할 수 없는 우렁쉥이의 양을 줄이고 생산량을 늘릴 수 있다.",김정명,김정명,,https://lens.org/076-092-005-294-078,Patent Application,no,0,2,2,2,0,A01K80/00;;A01K77/00,A01K80/00,,0,0,,,,EXPIRED
419,US,B1,US 6446378 B1,076-115-600-668-07X,2002-09-10,2002,US 64823200 A,2000-08-25,US 64823200 A,2000-08-25,Fishing net device,"
    A fishing net device for providing an easier way for the user to carry and transport the fishing net. The fishing net device includes a housing having a side wall and an open front end; and also includes net support members being removably disposed inside the housing and through the open front end; and further includes a net member being attached to the net support members and being removably disposed within the housing; and also includes A release assembly for releasing and urging the net support members from inside the housing. 
",WELCH RONALD K.;;WELCH LISA L.,WELCH RONALD K;;WELCH LISA L,,https://lens.org/076-115-600-668-07X,Granted Patent,yes,15,12,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/11;;43/12,0,0,,,,EXPIRED
420,KR,Y1,KR 920003858 Y1,082-210-347-401-293,1992-06-12,1992,KR 900004232 U,1990-04-10,JP 9332889 U,1989-08-07,APPARATUS FOR PUTTING FISHING NET IN ORDER,,NIHON KOSAKUSYO K K,HIRONAKA HUJIO,,https://lens.org/082-210-347-401-293,Unknown,no,0,0,3,3,0,A01K73/06;;A01K77/00,A01K73/06;;A01K75/00;;A01K77/00,,0,0,,,,EXPIRED
421,FR,A,FR 1574997 A,069-900-594-261-942,1969-07-18,1969,FR 1574997D A,1968-07-12,FR 69050204 A,1968-07-12,FR 1574997 A,,,,,https://lens.org/069-900-594-261-942,Granted Patent,no,0,0,1,1,0,A01K77/00;;C23D5/10,A01K77/00,,0,0,,,,EXPIRED
422,CN,B,CN 111802341 B,073-607-577-846-609,2022-04-05,2022,CN 202010484771 A,2020-06-01,CN 202010484771 A,2020-06-01,一种旋转式捕捞装置及捕捞方法,本发明公开了一种旋转式捕捞装置及捕捞方法，旨在提供一种不仅有利于幼鱼释放，而且有利于提高被释放的幼鱼的存活率的海洋生物捕捞方法。旋转式捕捞装置包括浮架、转动设置在浮架上的竖向轴杆、设置在浮架上用于驱动竖向轴杆的驱动电机、设置在竖向轴杆下端的环形安装架及若干设置环形安装架上的捕捞网装置。捕捞方法依次包括以下步骤：第一，捕捞船航行至指定海域，将旋转式捕捞装置投放到海域中；第二，驱动电机工作，驱动捕捞网装置旋转，使海水和鱼通过捕捞网的网口进入捕捞网；第三，驱动电机停止工作；第四，捕捞船航行，捕捞船通过连接绳带动旋转式捕捞装置移动至下一个指定位置；第五，返回第二步，如此循环。,浙江省海洋水产研究所,徐国强;;张洪亮;;陈峰;;周永东;;朱文斌,,https://lens.org/073-607-577-846-609,Granted Patent,no,0,0,2,2,0,A01K77/00;;A01K75/00,A01K77/00;;A01K75/00,,0,0,,,,ACTIVE
423,KR,U,KR 970060275 U,069-464-414-829-257,1997-12-10,1997,KR 19960011676 U,1996-05-07,KR 19960011676 U,1996-05-07,중소형 어선의 어망 권양기,"1. 청구범위에 기재된 고안이 속한 기술분야 중소형 어선용 어망 권양기 2. 고안이 해결하려고 하는 기술적 과제 기존 어망 권양시에 발생하는 제반 문제점을 일소할 수 있는 수단을 제공코져 하는 것임. 3. 고안의 해결방법의 요지 중소형 선박용 어망 권양기(1)에 있어서, 어망 권양기(1)는 각도조절 수단을 갖는 프레임(9)상에 유압모터(12a, 12b, 12c)와 연결된 수개의 권취드럼(11a, 11b, 11c)을 축설하고, 권취드럼(11a, 11b, 11c)의 외면부에는 요철면(13)과 논슬립층(14)을 형성한 것이다. 4. 고안의 중요한 용도 중소형 어선용 어망 권양기",김윤석,김윤석,,https://lens.org/069-464-414-829-257,Patent Application,no,0,0,2,2,0,A01K73/06;;A01K77/00,A01K73/06;;A01K77/00,,0,0,,,,EXPIRED
424,KR,A,KR 20100006394 A,071-882-836-009-770,2010-01-19,2010,KR 20080066604 A,2008-07-09,KR 20080066604 A,2008-07-09,MULTI-FUNTIONAL HYDROSPACE DETECTION TOOL,"PURPOSE: A multifunctional underwater detection tool is provided, which makes profitability good and improves efficiency of fishing or lifesaving activity. CONSTITUTION: A multifunctional underwater detection tool comprises a rectangular grip rod(10); and a detection rod(20) which is screwed with the screw clamp part of the grip rod; a weight plumb which is built to drop the detection rod into water; an infrared LED which is installed at the tip external area to light the front underwater; a camera(23) taking a photograph of underwater front situation. To the camera, a portable monitor(30) is connected.",HAN DAE SEUNG,HAN DAE SEUNG,,https://lens.org/071-882-836-009-770,Patent Application,no,0,3,1,1,0,A01K81/04;;A01K81/06;;A01K77/00;;H04N5/222,,,0,0,,,,DISCONTINUED
425,DE,U1,DE 9309761 U1,070-731-886-963-98X,1993-08-26,1993,DE 9309761 U,1993-06-28,DE 9309761 U,1993-06-28,"Kescher, insbesondere für den Fischfang",,BESTENSEE NETZBAU ANGELSPORT,,,https://lens.org/070-731-886-963-98X,Limited Patent,no,0,0,1,6,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
426,CN,A,CN 108669012 A,066-568-443-611-166,2018-10-19,2018,CN 201810692398 A,2018-06-28,CN 201810692398 A,2018-06-28,Electric fish catcher,"The invention discloses an electric fish catcher. The electric fish catcher comprises a base, an electric push rod, a main actuating arm, an auxiliary actuating arm, a gripping device and an electricsuction device, wherein one end of the main actuating arm is hinged to the base; one end of the auxiliary actuating arm is hinged to the other end of the main actuating arm; the gripping device is detachably mounted at the other end of the auxiliary actuating arm; the electric push rod is mounted on the base and used for driving the main actuating arm to swing in a vertical plane, and the grippingdevice is driven by the auxiliary actuating arm to enter or be separated from water; the electric suction device is mounted in an inner cavity of the auxiliary actuating arm and used for controllingopening or closing of the gripping device. The electric fish catcher has a simple structure, adopts a unique mode and novel materials, is simple and convenient to integrate, can bring new and happy fish catching experience for tourists and has quite high practicability.",TANGSHAN DUOMA PARADISE TOURISM CULTURE CO LTD,SHAN GANG;;WU LONGMEI;;JIA RUIKAI;;PANG GUILIANG,,https://lens.org/066-568-443-611-166,Patent Application,no,5,1,2,2,0,A01K77/00,A01K77/00,,0,0,,,,ACTIVE
427,FR,A,FR 739325 A,065-962-262-957-204,1933-01-09,1933,FR 739325D A,1932-07-01,FR 739325T A,1932-07-01,épuisette pliable et réductible de forme ronde,,,MORINEAU CLEMENT-LUCIEN,,https://lens.org/065-962-262-957-204,Granted Patent,no,0,1,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
428,KR,B1,KR 101938857 B1,079-504-294-999-775,2019-01-17,2019,KR 20180083081 A,2018-07-17,KR 20180083081 A,2018-07-17,Collecting apparatus for melanian anail,"The present invention relates to an apparatus for collecting marsh snails, capable of collecting marsh snails without putting hands while looking at water using water glasses, and with the apparatus, the marsh snails can be put out easily by holding handles. The apparatus has a rim having a D-shape, the front of the rim has a wider diameter than the diameter at the rear, wherein the thickness is made thinner toward the front of the rim, the handles are detachably coupled to a curved part of the rim, and a cutting groove is formed on the rear side of the rim while a net is fixed by being stitched.",SONG SU HO,SONG SU HO,,https://lens.org/079-504-294-999-775,Granted Patent,no,9,1,1,1,0,A01K80/00;;A01K77/00,A01K80/00;;A01K77/00,,0,0,,,,ACTIVE
